epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3142.74,0.93282,0.69505,1.30122,0.7977,0.81573,0.81004,0.50878,0.98335,0.55529,1.27358,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3238.66,0.93868,0.69304,1.30601,0.81925,0.83839,0.81799,0.51193,0.98214,0.55091,1.27397,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3335.11,0.94097,0.68455,1.30398,0.77888,0.80824,0.78694,0.49478,0.97436,0.55137,1.26171,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3431.61,0.9273,0.68246,1.29814,0.83723,0.80627,0.82101,0.52001,0.97888,0.54414,1.2637,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3529.05,0.93081,0.68291,1.30607,0.79351,0.79884,0.79946,0.50961,0.96696,0.55041,1.25524,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3625.89,0.92607,0.68125,1.29473,0.75474,0.83648,0.78338,0.50061,0.97136,0.54804,1.26674,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3723,0.91708,0.67041,1.2901,0.78205,0.82554,0.81297,0.52059,0.94495,0.54058,1.24281,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3819.25,0.91998,0.67002,1.29092,0.81735,0.82904,0.82031,0.5149,0.95478,0.52594,1.24309,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3915.44,0.90586,0.65876,1.2863,0.80084,0.83005,0.80967,0.51521,0.96338,0.52813,1.24775,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4011.65,0.9024,0.64984,1.27946,0.8119,0.83471,0.82536,0.52093,0.97621,0.5354,1.25915,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4108.55,0.91392,0.65336,1.28751,0.83245,0.84971,0.84894,0.538,0.94768,0.52551,1.23235,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4204.88,0.8985,0.65629,1.28303,0.83486,0.83891,0.8387,0.53006,0.94352,0.5102,1.23206,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4301.26,0.89207,0.64881,1.27682,0.82793,0.82385,0.84292,0.53634,0.95753,0.5188,1.24322,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4397.76,0.89371,0.64154,1.27627,0.82882,0.82181,0.82877,0.52743,0.9444,0.51459,1.24065,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4494.42,0.89157,0.63814,1.27269,0.81457,0.83742,0.8186,0.53069,0.93664,0.50185,1.22738,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4590.71,0.88361,0.63631,1.26871,0.8652,0.83894,0.84715,0.5399,0.93534,0.5078,1.22313,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4687.42,0.87785,0.62595,1.26656,0.85158,0.84929,0.85888,0.55001,0.92022,0.49437,1.206,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4783.53,0.88037,0.62618,1.26255,0.84339,0.83402,0.85568,0.54595,0.92152,0.49534,1.20726,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4879.98,0.87866,0.62347,1.26275,0.87311,0.83521,0.85624,0.54966,0.92753,0.4935,1.21107,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4975.9,0.8807,0.61546,1.26718,0.84049,0.85279,0.84891,0.54098,0.93318,0.48949,1.2154,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5072.86,0.86991,0.61938,1.26035,0.83169,0.85321,0.84852,0.54038,0.93082,0.48308,1.2173,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5169.66,0.8726,0.6167,1.25711,0.86565,0.84754,0.86058,0.55165,0.9215,0.48471,1.20742,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5266.45,0.86683,0.61702,1.25535,0.8436,0.85675,0.8681,0.55556,0.91574,0.48307,1.19523,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5362.69,0.86719,0.61318,1.26029,0.86683,0.84587,0.8675,0.55839,0.92152,0.48695,1.20701,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5459.04,0.85639,0.59814,1.25288,0.87493,0.82807,0.85718,0.5569,0.90679,0.47399,1.19545,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
